YOUR HASH: fb1dc9
YOUR NAME: Gurbir Arora
YOUR UID: 105178554

################### 1 ################### 
-- HEAP TRAVERSAL --
0x7f7cd0d823d8: header: [120:a] footer: [120:a]
0x7f7cd0d82450: header: [24:a] footer: [24:a]
0x7f7cd0d82468: header: [120:a] footer: [120:a]
0x7f7cd0d824e0: header: [24:a] footer: [24:a]
0x7f7cd0d824f8: header: [120:a] footer: [120:a]
0x7f7cd0d82570: header: [24:a] footer: [24:a]
0x7f7cd0d82588: header: [120:a] footer: [120:a]
0x7f7cd0d82600: header: [24:a] footer: [24:a]
0x7f7cd0d82618: header: [120:a] footer: [120:a]
0x7f7cd0d82690: header: [24:a] footer: [24:a]
0x7f7cd0d826a8: header: [120:a] footer: [120:a]
0x7f7cd0d82720: header: [24:a] footer: [24:a]
0x7f7cd0d82738: header: [120:a] footer: [120:a]
0x7f7cd0d827b0: header: [24:a] footer: [24:a]
0x7f7cd0d827c8: header: [120:a] footer: [120:a]
0x7f7cd0d82840: header: [24:a] footer: [24:a]
0x7f7cd0d82858: header: [120:a] footer: [120:a]
0x7f7cd0d828d0: header: [24:a] footer: [24:a]
0x7f7cd0d828e8: header: [120:a] footer: [120:a]
0x7f7cd0d82960: header: [24:a] footer: [24:a]
0x7f7cd0d82978: header: [120:a] footer: [120:a]
0x7f7cd0d829f0: header: [24:a] footer: [24:a]
0x7f7cd0d82a08: header: [120:a] footer: [120:a]
0x7f7cd0d82a80: header: [24:a] footer: [24:a]
0x7f7cd0d82a98: header: [120:a] footer: [120:a]
0x7f7cd0d82b10: header: [24:a] footer: [24:a]
0x7f7cd0d82b28: header: [120:a] footer: [120:a]
0x7f7cd0d82ba0: header: [24:a] footer: [24:a]
0x7f7cd0d82bb8: header: [120:a] footer: [120:a]
0x7f7cd0d82c30: header: [24:a] footer: [24:a]
0x7f7cd0d82c48: header: [120:a] footer: [120:a]
0x7f7cd0d82cc0: header: [24:a] footer: [24:a]
0x7f7cd0d82cd8: header: [120:a] footer: [120:a]
0x7f7cd0d82d50: header: [24:a] footer: [24:a]
0x7f7cd0d82d68: header: [120:a] footer: [120:a]
0x7f7cd0d82de0: header: [24:a] footer: [24:a]
0x7f7cd0d82df8: header: [120:a] footer: [120:a]
0x7f7cd0d82e70: header: [24:a] footer: [24:a]
0x7f7cd0d82e88: header: [120:a] footer: [120:a]
0x7f7cd0d82f00: header: [24:a] footer: [24:a]
0x7f7cd0d82f18: header: [120:a] footer: [120:a]
0x7f7cd0d82f90: header: [24:a] footer: [24:a]
0x7f7cd0d82fa8: header: [120:a] footer: [120:a]
0x7f7cd0d83020: header: [24:a] footer: [24:a]
0x7f7cd0d83038: header: [120:a] footer: [120:a]
0x7f7cd0d830b0: header: [24:a] footer: [24:a]
0x7f7cd0d830c8: header: [120:a] footer: [120:a]
0x7f7cd0d83140: header: [24:a] footer: [24:a]
0x7f7cd0d83158: header: [120:a] footer: [120:a]
0x7f7cd0d831d0: header: [24:a] footer: [24:a]
0x7f7cd0d831e8: header: [120:a] footer: [120:a]
0x7f7cd0d83260: header: [24:a] footer: [24:a]
0x7f7cd0d83278: header: [120:a] footer: [120:a]
0x7f7cd0d832f0: header: [24:a] footer: [24:a]
0x7f7cd0d83308: header: [120:a] footer: [120:a]
0x7f7cd0d83380: header: [24:a] footer: [24:a]
0x7f7cd0d83398: header: [120:a] footer: [120:a]
0x7f7cd0d83410: header: [24:a] footer: [24:a]
0x7f7cd0d83428: header: [120:a] footer: [120:a]
0x7f7cd0d834a0: header: [24:a] footer: [24:a]
0x7f7cd0d834b8: header: [120:a] footer: [120:a]
0x7f7cd0d83530: header: [24:a] footer: [24:a]
0x7f7cd0d83548: header: [120:a] footer: [120:a]
0x7f7cd0d835c0: header: [24:a] footer: [24:a]
0x7f7cd0d835d8: header: [120:a] footer: [120:a]
0x7f7cd0d83650: header: [24:a] footer: [24:a]
0x7f7cd0d83668: header: [120:a] footer: [120:a]
0x7f7cd0d836e0: header: [24:a] footer: [24:a]
0x7f7cd0d836f8: header: [120:a] footer: [120:a]
0x7f7cd0d83770: header: [24:a] footer: [24:a]
0x7f7cd0d83788: header: [120:a] footer: [120:a]
0x7f7cd0d83800: header: [24:a] footer: [24:a]
0x7f7cd0d83818: header: [120:a] footer: [120:a]
0x7f7cd0d83890: header: [24:a] footer: [24:a]
0x7f7cd0d838a8: header: [120:a] footer: [120:a]
0x7f7cd0d83920: header: [24:a] footer: [24:a]
0x7f7cd0d83938: header: [120:a] footer: [120:a]
0x7f7cd0d839b0: header: [24:a] footer: [24:a]
0x7f7cd0d839c8: header: [120:a] footer: [120:a]
0x7f7cd0d83a40: header: [24:a] footer: [24:a]
0x7f7cd0d83a58: header: [120:a] footer: [120:a]
0x7f7cd0d83ad0: header: [24:a] footer: [24:a]
0x7f7cd0d83ae8: header: [120:a] footer: [120:a]
0x7f7cd0d83b60: header: [24:a] footer: [24:a]
0x7f7cd0d83b78: header: [120:a] footer: [120:a]
0x7f7cd0d83bf0: header: [24:a] footer: [24:a]
0x7f7cd0d83c08: header: [120:a] footer: [120:a]
0x7f7cd0d83c80: header: [24:a] footer: [24:a]
0x7f7cd0d83c98: header: [120:a] footer: [120:a]
0x7f7cd0d83d10: header: [24:a] footer: [24:a]
0x7f7cd0d83d28: header: [120:a] footer: [120:a]
0x7f7cd0d83da0: header: [24:a] footer: [24:a]
0x7f7cd0d83db8: header: [120:a] footer: [120:a]
0x7f7cd0d83e30: header: [24:a] footer: [24:a]
0x7f7cd0d83e48: header: [120:a] footer: [120:a]
0x7f7cd0d83ec0: header: [24:a] footer: [24:a]
0x7f7cd0d83ed8: header: [120:a] footer: [120:a]
0x7f7cd0d83f50: header: [24:a] footer: [24:a]
0x7f7cd0d83f68: header: [120:a] footer: [120:a]
0x7f7cd0d83fe0: header: [24:a] footer: [24:a]
0x7f7cd0d83ff8: header: [120:a] footer: [120:a]
0x7f7cd0d84070: header: [24:a] footer: [24:a]
0x7f7cd0d84088: header: [120:a] footer: [120:a]
0x7f7cd0d84100: header: [24:a] footer: [24:a]
0x7f7cd0d84118: header: [120:a] footer: [120:a]
0x7f7cd0d84190: header: [24:a] footer: [24:a]
0x7f7cd0d841a8: header: [120:a] footer: [120:a]
0x7f7cd0d84220: header: [24:a] footer: [24:a]
0x7f7cd0d84238: header: [120:a] footer: [120:a]
0x7f7cd0d842b0: header: [24:a] footer: [24:a]
0x7f7cd0d842c8: header: [120:a] footer: [120:a]
0x7f7cd0d84340: header: [24:a] footer: [24:a]
0x7f7cd0d84358: header: [120:a] footer: [120:a]
0x7f7cd0d843d0: header: [24:a] footer: [24:a]
0x7f7cd0d843e8: header: [120:a] footer: [120:a]
0x7f7cd0d84460: header: [24:a] footer: [24:a]
0x7f7cd0d84478: header: [120:a] footer: [120:a]
0x7f7cd0d844f0: header: [24:a] footer: [24:a]
0x7f7cd0d84508: header: [120:a] footer: [120:a]
0x7f7cd0d84580: header: [24:a] footer: [24:a]
0x7f7cd0d84598: header: [120:a] footer: [120:a]
0x7f7cd0d84610: header: [24:a] footer: [24:a]
0x7f7cd0d84628: header: [120:a] footer: [120:a]
0x7f7cd0d846a0: header: [24:a] footer: [24:a]
0x7f7cd0d846b8: header: [120:a] footer: [120:a]
0x7f7cd0d84730: header: [24:a] footer: [24:a]
0x7f7cd0d84748: header: [120:a] footer: [120:a]
0x7f7cd0d847c0: header: [24:a] footer: [24:a]
0x7f7cd0d847d8: header: [120:a] footer: [120:a]
0x7f7cd0d84850: header: [24:a] footer: [24:a]
0x7f7cd0d84868: header: [120:a] footer: [120:a]
0x7f7cd0d848e0: header: [24:a] footer: [24:a]
0x7f7cd0d848f8: header: [120:a] footer: [120:a]
0x7f7cd0d84970: header: [24:a] footer: [24:a]
0x7f7cd0d84988: header: [120:a] footer: [120:a]
0x7f7cd0d84a00: header: [24:a] footer: [24:a]
0x7f7cd0d84a18: header: [120:a] footer: [120:a]
0x7f7cd0d84a90: header: [24:a] footer: [24:a]
0x7f7cd0d84aa8: header: [120:a] footer: [120:a]
0x7f7cd0d84b20: header: [24:a] footer: [24:a]
0x7f7cd0d84b38: header: [120:a] footer: [120:a]
0x7f7cd0d84bb0: header: [24:a] footer: [24:a]
0x7f7cd0d84bc8: header: [120:a] footer: [120:a]
0x7f7cd0d84c40: header: [24:a] footer: [24:a]
0x7f7cd0d84c58: header: [120:a] footer: [120:a]
0x7f7cd0d84cd0: header: [24:a] footer: [24:a]
0x7f7cd0d84ce8: header: [120:a] footer: [120:a]
0x7f7cd0d84d60: header: [24:a] footer: [24:a]
0x7f7cd0d84d78: header: [120:a] footer: [120:a]
0x7f7cd0d84df0: header: [24:a] footer: [24:a]
0x7f7cd0d84e08: header: [120:a] footer: [120:a]
0x7f7cd0d84e80: header: [24:a] footer: [24:a]
0x7f7cd0d84e98: header: [120:a] footer: [120:a]
0x7f7cd0d84f10: header: [24:a] footer: [24:a]
0x7f7cd0d84f28: header: [120:a] footer: [120:a]
0x7f7cd0d84fa0: header: [24:a] footer: [24:a]
0x7f7cd0d84fb8: header: [120:a] footer: [120:a]
0x7f7cd0d85030: header: [24:a] footer: [24:a]
0x7f7cd0d85048: header: [120:a] footer: [120:a]
0x7f7cd0d850c0: header: [24:a] footer: [24:a]
0x7f7cd0d850d8: header: [120:a] footer: [120:a]
0x7f7cd0d85150: header: [24:a] footer: [24:a]
0x7f7cd0d85168: header: [120:a] footer: [120:a]
0x7f7cd0d851e0: header: [24:a] footer: [24:a]
0x7f7cd0d851f8: header: [120:a] footer: [120:a]
0x7f7cd0d85270: header: [24:a] footer: [24:a]
0x7f7cd0d85288: header: [120:a] footer: [120:a]
0x7f7cd0d85300: header: [24:a] footer: [24:a]
0x7f7cd0d85318: header: [120:a] footer: [120:a]
0x7f7cd0d85390: header: [24:a] footer: [24:a]
0x7f7cd0d853a8: header: [120:a] footer: [120:a]
0x7f7cd0d85420: header: [24:a] footer: [24:a]
0x7f7cd0d85438: header: [120:a] footer: [120:a]
0x7f7cd0d854b0: header: [24:a] footer: [24:a]
0x7f7cd0d854c8: header: [120:a] footer: [120:a]
0x7f7cd0d85540: header: [24:a] footer: [24:a]
0x7f7cd0d85558: header: [120:a] footer: [120:a]
0x7f7cd0d855d0: header: [24:a] footer: [24:a]
0x7f7cd0d855e8: header: [120:a] footer: [120:a]
0x7f7cd0d85660: header: [24:a] footer: [24:a]
0x7f7cd0d85678: header: [120:a] footer: [120:a]
0x7f7cd0d856f0: header: [24:a] footer: [24:a]
0x7f7cd0d85708: header: [120:a] footer: [120:a]
0x7f7cd0d85780: header: [24:a] footer: [24:a]
0x7f7cd0d85798: header: [120:a] footer: [120:a]
0x7f7cd0d85810: header: [24:a] footer: [24:a]
0x7f7cd0d85828: header: [120:a] footer: [120:a]
0x7f7cd0d858a0: header: [24:a] footer: [24:a]
0x7f7cd0d858b8: header: [120:a] footer: [120:a]
0x7f7cd0d85930: header: [24:a] footer: [24:a]
0x7f7cd0d85948: header: [120:a] footer: [120:a]
0x7f7cd0d859c0: header: [24:a] footer: [24:a]
0x7f7cd0d859d8: header: [120:a] footer: [120:a]
0x7f7cd0d85a50: header: [24:a] footer: [24:a]
0x7f7cd0d85a68: header: [120:a] footer: [120:a]
0x7f7cd0d85ae0: header: [24:a] footer: [24:a]
0x7f7cd0d85af8: header: [120:a] footer: [120:a]
0x7f7cd0d85b70: header: [24:a] footer: [24:a]
0x7f7cd0d85b88: header: [120:a] footer: [120:a]
0x7f7cd0d85c00: header: [24:a] footer: [24:a]
0x7f7cd0d85c18: header: [120:a] footer: [120:a]
0x7f7cd0d85c90: header: [24:a] footer: [24:a]
0x7f7cd0d85ca8: header: [120:a] footer: [120:a]
0x7f7cd0d85d20: header: [24:a] footer: [24:a]
0x7f7cd0d85d38: header: [120:a] footer: [120:a]
0x7f7cd0d85db0: header: [24:a] footer: [24:a]
0x7f7cd0d85dc8: header: [120:a] footer: [120:a]
0x7f7cd0d85e40: header: [24:a] footer: [24:a]
0x7f7cd0d85e58: header: [120:a] footer: [120:a]
0x7f7cd0d85ed0: header: [24:a] footer: [24:a]
0x7f7cd0d85ee8: header: [120:a] footer: [120:a]
0x7f7cd0d85f60: header: [24:a] footer: [24:a]
0x7f7cd0d85f78: header: [120:a] footer: [120:a]
0x7f7cd0d85ff0: header: [24:a] footer: [24:a]
0x7f7cd0d86008: header: [120:a] footer: [120:a]
0x7f7cd0d86080: header: [24:a] footer: [24:a]
0x7f7cd0d86098: header: [120:a] footer: [120:a]
0x7f7cd0d86110: header: [24:a] footer: [24:a]
0x7f7cd0d86128: header: [120:a] footer: [120:a]
0x7f7cd0d861a0: header: [24:a] footer: [24:a]
0x7f7cd0d861b8: header: [120:a] footer: [120:a]
0x7f7cd0d86230: header: [24:a] footer: [24:a]
0x7f7cd0d86248: header: [120:a] footer: [120:a]
0x7f7cd0d862c0: header: [24:a] footer: [24:a]
0x7f7cd0d862d8: header: [120:a] footer: [120:a]
0x7f7cd0d86350: header: [24:a] footer: [24:a]
0x7f7cd0d86368: header: [120:a] footer: [120:a]
0x7f7cd0d863e0: header: [24:a] footer: [24:a]
0x7f7cd0d863f8: header: [120:a] footer: [120:a]
0x7f7cd0d86470: header: [24:a] footer: [24:a]
0x7f7cd0d86488: header: [120:a] footer: [120:a]
0x7f7cd0d86500: header: [24:a] footer: [24:a]
0x7f7cd0d86518: header: [120:a] footer: [120:a]
0x7f7cd0d86590: header: [24:a] footer: [24:a]
0x7f7cd0d865a8: header: [120:a] footer: [120:a]
0x7f7cd0d86620: header: [24:a] footer: [24:a]
0x7f7cd0d86638: header: [120:a] footer: [120:a]
0x7f7cd0d866b0: header: [24:a] footer: [24:a]
0x7f7cd0d866c8: header: [120:a] footer: [120:a]
0x7f7cd0d86740: header: [24:a] footer: [24:a]
0x7f7cd0d86758: header: [120:a] footer: [120:a]
0x7f7cd0d867d0: header: [24:a] footer: [24:a]
0x7f7cd0d867e8: header: [120:a] footer: [120:a]
0x7f7cd0d86860: header: [24:a] footer: [24:a]
0x7f7cd0d86878: header: [120:a] footer: [120:a]
0x7f7cd0d868f0: header: [24:a] footer: [24:a]
0x7f7cd0d86908: header: [120:a] footer: [120:a]
0x7f7cd0d86980: header: [24:a] footer: [24:a]
0x7f7cd0d86998: header: [120:a] footer: [120:a]
0x7f7cd0d86a10: header: [24:a] footer: [24:a]
0x7f7cd0d86a28: header: [120:a] footer: [120:a]
0x7f7cd0d86aa0: header: [24:a] footer: [24:a]
0x7f7cd0d86ab8: header: [120:a] footer: [120:a]
0x7f7cd0d86b30: header: [24:a] footer: [24:a]
0x7f7cd0d86b48: header: [120:a] footer: [120:a]
0x7f7cd0d86bc0: header: [24:a] footer: [24:a]
0x7f7cd0d86bd8: header: [120:a] footer: [120:a]
0x7f7cd0d86c50: header: [24:a] footer: [24:a]
0x7f7cd0d86c68: header: [120:a] footer: [120:a]
0x7f7cd0d86ce0: header: [24:a] footer: [24:a]
0x7f7cd0d86cf8: header: [120:a] footer: [120:a]
0x7f7cd0d86d70: header: [24:a] footer: [24:a]
0x7f7cd0d86d88: header: [120:a] footer: [120:a]
0x7f7cd0d86e00: header: [24:a] footer: [24:a]
0x7f7cd0d86e18: header: [120:a] footer: [120:a]
0x7f7cd0d86e90: header: [24:a] footer: [24:a]
0x7f7cd0d86ea8: header: [120:a] footer: [120:a]
0x7f7cd0d86f20: header: [24:a] footer: [24:a]
0x7f7cd0d86f38: header: [120:a] footer: [120:a]
0x7f7cd0d86fb0: header: [24:a] footer: [24:a]
0x7f7cd0d86fc8: header: [120:a] footer: [120:a]
0x7f7cd0d87040: header: [24:a] footer: [24:a]
0x7f7cd0d87058: header: [120:a] footer: [120:a]
0x7f7cd0d870d0: header: [24:a] footer: [24:a]
0x7f7cd0d870e8: header: [120:a] footer: [120:a]
0x7f7cd0d87160: header: [24:a] footer: [24:a]
0x7f7cd0d87178: header: [120:a] footer: [120:a]
0x7f7cd0d871f0: header: [24:a] footer: [24:a]
0x7f7cd0d87208: header: [120:a] footer: [120:a]
0x7f7cd0d87280: header: [24:a] footer: [24:a]
0x7f7cd0d87298: header: [120:a] footer: [120:a]
0x7f7cd0d87310: header: [24:a] footer: [24:a]
0x7f7cd0d87328: header: [120:a] footer: [120:a]
0x7f7cd0d873a0: header: [24:a] footer: [24:a]
0x7f7cd0d873b8: header: [120:a] footer: [120:a]
0x7f7cd0d87430: header: [24:a] footer: [24:a]
0x7f7cd0d87448: header: [120:a] footer: [120:a]
0x7f7cd0d874c0: header: [24:a] footer: [24:a]
0x7f7cd0d874d8: header: [120:a] footer: [120:a]
0x7f7cd0d87550: header: [24:a] footer: [24:a]
0x7f7cd0d87568: header: [120:a] footer: [120:a]
0x7f7cd0d875e0: header: [24:a] footer: [24:a]
0x7f7cd0d875f8: header: [120:a] footer: [120:a]
0x7f7cd0d87670: header: [24:a] footer: [24:a]
0x7f7cd0d87688: header: [120:a] footer: [120:a]
0x7f7cd0d87700: header: [24:a] footer: [24:a]
0x7f7cd0d87718: header: [120:a] footer: [120:a]
0x7f7cd0d87790: header: [24:a] footer: [24:a]
0x7f7cd0d877a8: header: [120:a] footer: [120:a]
0x7f7cd0d87820: header: [24:a] footer: [24:a]
0x7f7cd0d87838: header: [120:a] footer: [120:a]
0x7f7cd0d878b0: header: [24:a] footer: [24:a]
0x7f7cd0d878c8: header: [120:a] footer: [120:a]
0x7f7cd0d87940: header: [24:a] footer: [24:a]
0x7f7cd0d87958: header: [120:a] footer: [120:a]
0x7f7cd0d879d0: header: [24:a] footer: [24:a]
0x7f7cd0d879e8: header: [120:a] footer: [120:a]
0x7f7cd0d87a60: header: [24:a] footer: [24:a]
0x7f7cd0d87a78: header: [120:a] footer: [120:a]
0x7f7cd0d87af0: header: [24:a] footer: [24:a]
0x7f7cd0d87b08: header: [120:a] footer: [120:a]
0x7f7cd0d87b80: header: [24:a] footer: [24:a]
0x7f7cd0d87b98: header: [120:a] footer: [120:a]
0x7f7cd0d87c10: header: [24:a] footer: [24:a]
0x7f7cd0d87c28: header: [120:a] footer: [120:a]
0x7f7cd0d87ca0: header: [24:a] footer: [24:a]
0x7f7cd0d87cb8: header: [120:a] footer: [120:a]
0x7f7cd0d87d30: header: [24:a] footer: [24:a]
0x7f7cd0d87d48: header: [120:a] footer: [120:a]
0x7f7cd0d87dc0: header: [24:a] footer: [24:a]
0x7f7cd0d87dd8: header: [120:a] footer: [120:a]
0x7f7cd0d87e50: header: [24:a] footer: [24:a]
0x7f7cd0d87e68: header: [120:a] footer: [120:a]
0x7f7cd0d87ee0: header: [24:a] footer: [24:a]
0x7f7cd0d87ef8: header: [120:a] footer: [120:a]
0x7f7cd0d87f70: header: [24:a] footer: [24:a]
0x7f7cd0d87f88: header: [120:a] footer: [120:a]
0x7f7cd0d88000: header: [24:a] footer: [24:a]
0x7f7cd0d88018: header: [120:a] footer: [120:a]
0x7f7cd0d88090: header: [24:a] footer: [24:a]
0x7f7cd0d880a8: header: [120:a] footer: [120:a]
0x7f7cd0d88120: header: [24:a] footer: [24:a]
0x7f7cd0d88138: header: [120:a] footer: [120:a]
0x7f7cd0d881b0: header: [24:a] footer: [24:a]
0x7f7cd0d881c8: header: [120:a] footer: [120:a]
0x7f7cd0d88240: header: [24:a] footer: [24:a]
0x7f7cd0d88258: header: [120:a] footer: [120:a]
0x7f7cd0d882d0: header: [24:a] footer: [24:a]
0x7f7cd0d882e8: header: [120:a] footer: [120:a]
0x7f7cd0d88360: header: [24:a] footer: [24:a]
0x7f7cd0d88378: header: [120:a] footer: [120:a]
0x7f7cd0d883f0: header: [24:a] footer: [24:a]
0x7f7cd0d88408: header: [120:a] footer: [120:a]
0x7f7cd0d88480: header: [24:a] footer: [24:a]
0x7f7cd0d88498: header: [120:a] footer: [120:a]
0x7f7cd0d88510: header: [24:a] footer: [24:a]
0x7f7cd0d88528: header: [120:a] footer: [120:a]
0x7f7cd0d885a0: header: [24:a] footer: [24:a]
0x7f7cd0d885b8: header: [120:a] footer: [120:a]
0x7f7cd0d88630: header: [24:a] footer: [24:a]
0x7f7cd0d88648: header: [120:a] footer: [120:a]
0x7f7cd0d886c0: header: [24:a] footer: [24:a]
0x7f7cd0d886d8: header: [120:a] footer: [120:a]
0x7f7cd0d88750: header: [24:a] footer: [24:a]
0x7f7cd0d88768: header: [120:a] footer: [120:a]
0x7f7cd0d887e0: header: [24:a] footer: [24:a]
0x7f7cd0d887f8: header: [120:a] footer: [120:a]
0x7f7cd0d88870: header: [24:a] footer: [24:a]
0x7f7cd0d88888: header: [120:a] footer: [120:a]
0x7f7cd0d88900: header: [24:a] footer: [24:a]
0x7f7cd0d88918: header: [120:a] footer: [120:a]
0x7f7cd0d88990: header: [24:a] footer: [24:a]
0x7f7cd0d889a8: header: [120:a] footer: [120:a]
0x7f7cd0d88a20: header: [24:a] footer: [24:a]
0x7f7cd0d88a38: header: [120:a] footer: [120:a]
0x7f7cd0d88ab0: header: [24:a] footer: [24:a]
0x7f7cd0d88ac8: header: [120:a] footer: [120:a]
0x7f7cd0d88b40: header: [24:a] footer: [24:a]
0x7f7cd0d88b58: header: [120:a] footer: [120:a]
0x7f7cd0d88bd0: header: [24:a] footer: [24:a]
0x7f7cd0d88be8: header: [120:a] footer: [120:a]
0x7f7cd0d88c60: header: [24:a] footer: [24:a]
0x7f7cd0d88c78: header: [120:a] footer: [120:a]
0x7f7cd0d88cf0: header: [24:a] footer: [24:a]
0x7f7cd0d88d08: header: [120:a] footer: [120:a]
0x7f7cd0d88d80: header: [24:a] footer: [24:a]
0x7f7cd0d88d98: header: [120:a] footer: [120:a]
0x7f7cd0d88e10: header: [24:a] footer: [24:a]
0x7f7cd0d88e28: header: [120:a] footer: [120:a]
0x7f7cd0d88ea0: header: [24:a] footer: [24:a]
0x7f7cd0d88eb8: header: [120:a] footer: [120:a]
0x7f7cd0d88f30: header: [24:a] footer: [24:a]
0x7f7cd0d88f48: header: [120:a] footer: [120:a]
0x7f7cd0d88fc0: header: [24:a] footer: [24:a]
0x7f7cd0d88fd8: header: [120:a] footer: [120:a]
0x7f7cd0d89050: header: [24:a] footer: [24:a]
0x7f7cd0d89068: header: [120:a] footer: [120:a]
0x7f7cd0d890e0: header: [24:a] footer: [24:a]
0x7f7cd0d890f8: header: [120:a] footer: [120:a]
0x7f7cd0d89170: header: [24:a] footer: [24:a]
0x7f7cd0d89188: header: [120:a] footer: [120:a]
0x7f7cd0d89200: header: [24:a] footer: [24:a]
0x7f7cd0d89218: header: [120:a] footer: [120:a]
0x7f7cd0d89290: header: [24:a] footer: [24:a]
0x7f7cd0d892a8: header: [120:a] footer: [120:a]
0x7f7cd0d89320: header: [24:a] footer: [24:a]
0x7f7cd0d89338: header: [120:a] footer: [120:a]
0x7f7cd0d893b0: header: [24:a] footer: [24:a]
0x7f7cd0d893c8: header: [120:a] footer: [120:a]
0x7f7cd0d89440: header: [24:a] footer: [24:a]
0x7f7cd0d89458: header: [120:a] footer: [120:a]
0x7f7cd0d894d0: header: [24:a] footer: [24:a]
0x7f7cd0d894e8: header: [120:a] footer: [120:a]
0x7f7cd0d89560: header: [24:a] footer: [24:a]
0x7f7cd0d89578: header: [120:a] footer: [120:a]
0x7f7cd0d895f0: header: [24:a] footer: [24:a]
0x7f7cd0d89608: header: [120:a] footer: [120:a]
0x7f7cd0d89680: header: [24:a] footer: [24:a]
0x7f7cd0d89698: header: [120:a] footer: [120:a]
0x7f7cd0d89710: header: [24:a] footer: [24:a]
0x7f7cd0d89728: header: [120:a] footer: [120:a]
0x7f7cd0d897a0: header: [24:a] footer: [24:a]
0x7f7cd0d897b8: header: [120:a] footer: [120:a]
0x7f7cd0d89830: header: [24:a] footer: [24:a]
0x7f7cd0d89848: header: [120:a] footer: [120:a]
0x7f7cd0d898c0: header: [24:a] footer: [24:a]
0x7f7cd0d898d8: header: [120:a] footer: [120:a]
0x7f7cd0d89950: header: [24:a] footer: [24:a]
0x7f7cd0d89968: header: [120:a] footer: [120:a]
0x7f7cd0d899e0: header: [24:a] footer: [24:a]
0x7f7cd0d899f8: header: [120:a] footer: [120:a]
0x7f7cd0d89a70: header: [24:a] footer: [24:a]
0x7f7cd0d89a88: header: [120:a] footer: [120:a]
0x7f7cd0d89b00: header: [24:a] footer: [24:a]
0x7f7cd0d89b18: header: [120:a] footer: [120:a]
0x7f7cd0d89b90: header: [24:a] footer: [24:a]
0x7f7cd0d89ba8: header: [120:a] footer: [120:a]
0x7f7cd0d89c20: header: [24:a] footer: [24:a]
0x7f7cd0d89c38: header: [120:a] footer: [120:a]
0x7f7cd0d89cb0: header: [24:a] footer: [24:a]
0x7f7cd0d89cc8: header: [120:a] footer: [120:a]
0x7f7cd0d89d40: header: [24:a] footer: [24:a]
0x7f7cd0d89d58: header: [120:a] footer: [120:a]
0x7f7cd0d89dd0: header: [24:a] footer: [24:a]
0x7f7cd0d89de8: header: [120:a] footer: [120:a]
0x7f7cd0d89e60: header: [24:a] footer: [24:a]
0x7f7cd0d89e78: header: [120:a] footer: [120:a]
0x7f7cd0d89ef0: header: [24:a] footer: [24:a]
0x7f7cd0d89f08: header: [120:a] footer: [120:a]
0x7f7cd0d89f80: header: [24:a] footer: [24:a]
0x7f7cd0d89f98: header: [120:a] footer: [120:a]
0x7f7cd0d8a010: header: [16:f] footer: [-791109576:f]
header != footer
